genre,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc,melspectrogram,tonnetz,tempo,tempogram,fourier_tempogram,rms,zero_crossing_rate,spectral_flatness
Classical Music,0.28709653,0.32714862,0.19829988,1168.5034511034594,1989.3152108218947,1684.9231448335913,20.869175110634274,-11.842203,0.6845069,-0.0074974492446545455,123.046875,0.14379478613383154,(0.5601679-0.00043956543j),0.050560884,0.024273473780959752,2.423935e-05
Classical Music,0.4192807,0.34982166,0.19972193,1466.5550723971544,2686.330709903289,2578.2677429010255,19.59476219838699,-11.149831,0.11125357,0.06889617171964034,109.95678191489361,0.11409325566825684,(0.58541685-0.002680317j),0.0183977,0.01837781782120743,8.115874e-05
Classical Music,0.257586,0.3723318,0.23278615,1552.316682279221,2402.859605675921,2365.7190281540247,21.917787569281572,-11.748378,0.6415905,0.009967781388811407,114.84375,0.16263356070107743,(0.5566243-0.0025328652j),0.047147006,0.031200491607004645,6.156841e-05
Classical Music,0.28379628,0.32320976,0.1948429,1518.9648607658912,2779.9298039034215,2684.4837672939243,21.346446981924974,-12.833282,0.19872789,0.02263419844008951,109.95678191489361,0.1726827469449581,(0.3879566+0.0031305344j),0.021757869,0.022664639971942725,5.0761228e-05
Classical Music,0.35717022,0.51941764,0.24607898,1385.341836739976,1966.6512811667337,2525.934726018286,21.06685879151739,0.09323031,2.1906824,0.03173451496396191,123.046875,0.29492405730892923,(0.43299025-0.0002079951j),0.1035392,0.032177054107004645,1.803318e-05
Classical Music,0.30366218,0.27136043,0.18074349,1172.53910609543,1429.532043663801,1950.9382029435951,23.967665186037262,-9.401889,0.46995482,0.019816159102776898,126.04801829268293,0.30740972627853796,(0.37617213-0.0014260123j),0.04720482,0.0362492139125387,4.591159e-06
Classical Music,0.40261006,0.27342853,0.17467673,813.6606344274327,1229.1003269135206,1272.3423063201433,23.553409436159672,-2.264144,1.9333812,0.035389415945184015,129.19921875,0.3053758365014892,(0.33578226+0.0021178855j),0.09323919,0.022892907677051082,4.354137e-06
Classical Music,0.3450253,0.35326836,0.20144509,1059.3544999220182,1336.7800255076297,1739.3561490179954,23.043684250985848,-8.870154,2.228142,0.03858760499604454,120.18531976744185,0.3005576678523814,(0.34290907+0.0007270249j),0.0982129,0.030256808726780184,5.3843237e-06
Classical Music,0.6251016,0.4245167,0.23953505,862.7521828225279,1603.329663711446,1545.4406549317919,20.25730724018171,0.7260557,2.2532303,0.06931816613244281,156.60511363636363,0.2150326627241277,(0.47690666+0.00091859954j),0.10085979,0.014386912248452012,1.0681651e-05
Classical Music,0.41031718,0.3656862,0.2208935,2122.58569325972,2598.4796634034856,4151.40823033572,22.118482567835105,-3.616704,2.4029481,0.053661377138438146,107.666015625,0.2593630441698716,(0.52371556+0.00014804442j),0.10807078,0.04914860681114551,6.311056e-05
Classical Music,0.51632833,0.30702475,0.19789343,1245.284148263139,1678.8945631767456,2217.5865905572755,21.083900673294927,-2.5785842,1.3138918,-0.03709318123174085,120.18531976744185,0.30482771666098674,(0.39541724-0.0011907299j),0.075329535,0.03024358129353715,5.324373e-05
