Classical Music;49;The Elder Scrolls Online Original Game Soundtrack;Brad Derrick- The Elder Scrolls Online Soundtrack;
Classical Music;227;The Elder Scrolls V: Skyrim OST;Jeremy Soule- Skyrim OST;
Classical Music;228;The Elder Scrolls IV: Oblivion OST;Jeremy Soule- The Elder Scrolls IV Oblivion Soundtrack;7
Classical Music;334;String Quartet No. 2;Morton Feldman- String Quartet No. 2 (FLUX Quartet);
Classical Music;471;The 6 String Quartets;Takács Quartet- The 6 String Quartets;
Classical Music;526;Blood and Wine OST;Various - Witcher 3 Blood and Wine OST;7
Classical Music;527;Hearts Of Stone OST;Various - Witcher 3 Hearts of Stone OST;6
Classical Music;680;Orpheus In The Underworld;Don Shirley- Orpheus In The Underworld;6
Classical Music;808;Bionicle 2: Legends of Metru-Nui OST;Nathan Furst - Bionicle 2 Legends of Metru-Nui OST;7
Classical Music;953;The Elder Scrolls III: Morrowind OST;Jeremy Soule- The Elder Scrolls III Morrowind OST;9
Classical Music;959;Return of The Obra Dinn;Lucas Pope - Return of the Obra Dinn OST;9
Classical Music;964;Bionicle: Mask Of Light OST;Nathan Furst - Bionicle Mask of Light OST;9
Classical Music;973;The Witcher 2 Assassins of Kings Official Soundtrack;Various - Witcher 2 Assasins of the Kings OST;9
Classical Music;983;Hosianna Mantra;Popol Vuh- Hosianna Mantra;9
Classical Music;1002;Overworld;Andras Fox - Overworld;
Classical Music;1132;HANA-BI;Joe Hisaishi - Hana-Bi;
Classical Music;1133;Laputa: Castle in the Sky;Joe Hisaishi - Laputa Castle in the Sky;
Classical Music;1134;Tonari No Totoro;Joe Hisaishi - Tonari no Totoro;
Classical Music;1148;Wolf Children;Takagi Masakatsu - Wolf Children;
Classical Music;1152;1492 - Conquest of Paradise;Vangelis - 1492 conquest of paradise;8
Electronic;19;Drukqs;Aphex Twin - Drukqs;
Electronic;20;Syro;Aphex Twin - Syro;6
Electronic;30;Elseq 1–5;Autechre - Elseq 1–5;
Electronic;33;Pleasure;BarbWalters - Pleasure;6
Electronic;38;The Bearnoises Chronicles;Bearnoises - Bearnoises Chronicles;7
Electronic;48;Chicken Nugget Internet;Brabra Broadband - Chicken Nugget Internet;6
